CBPSEG,SUM,MEAN,COUNT
APPTF,0.16299999999999998,0.00582142857142857,28
BACOH,1.5005,0.010207482993197278,147
BIGMH,2.35815,0.003904221854304636,604
BOHOH,18.09182,0.35474156862745093,51
BSHOH,60.14622,0.17690064705882352,340
CB1TF,187.44063,0.21948551522248244,854
CB2OH,367.22987,0.16806859038901603,2185
CB3MH,79.31112,0.034259663066954646,2315
CB4MH,25.508960000000002,0.01965251155624037,1298
CB5MH,13.76791,0.004807231145251397,2864
CB6PH,11.798,0.005510509107893508,2141
CB7PH,27.675,0.00491563055062167,5630
CB8PH,10.753,0.005291830708661418,2032
CHKOH,5.825,0.03328571428571429,175
CHOMH1,3.0911,0.005461307420494699,566
CHOMH2,17.39015,0.01838282241014799,946
CHOOH,8.77,0.03968325791855203,221
CHOTF,3.5696399999999997,0.13220888888888888,27
CHSMH,19.33485,0.012898498999332889,1499
CHSOH,71.67465,0.33969028436018955,211
CHSTF,3.6134999999999997,0.20074999999999998,18
CRRMH,0.859,0.002426553672316384,354
EASMH,6.42623,0.013790193133047211,466
EBEMH,0.191,0.004775,40
ELIPH,3.047,0.01072887323943662,284
ELKOH,92.07378,0.2267827093596059,406
FSBMH,1.08015,0.00593489010989011,182
GUNOH,113.57051,0.21591351711026616,526
HNGMH,0.79955,0.0029180656934306567,274
JMSMH,27.96,0.0077280265339966835,3618
JMSOH,29.69,0.027288602941176472,1088
JMSPH,18.841,0.013138772663877267,1434
JMSTF,55.562,0.08255869242199108,673
LAFMH,0.555,0.004586776859504133,121
LCHMH,3.00834,0.009550285714285714,315
LYNPH,0.107,0.005631578947368421,19
MAGMH,5.3748000000000005,0.011917516629711753,451
MANMH,2.52493,0.003607042857142857,700
MATTF,5.408180000000001,0.33801125000000004,16
MIDOH,39.9561,0.1841294930875576,217
MOBPH,2.961,0.002963963963963964,999
MPNOH,2.992,0.01088,275
MPNTF,7.882000000000001,0.05590070921985816,141
NANMH,4.48575,0.006380867709815078,703
NANOH,32.09315,0.2097591503267974,153
NORTF,0.25402,0.0039690625,64
PATMH,38.83155,0.02613159488559892,1486
PAXMH,29.0531,0.0066029772727272725,4400
PAXOH,57.771350000000005,0.14700089058524174,393
PAXTF,0.72733,0.006494017857142857,112
PIAMH,0.232,0.002148148148148148,108
PMKOH,6.668,0.016223844282238442,411
PMKTF,18.129,0.09156060606060606,198
POCMH,2.43385,0.005726705882352941,425
POCOH,1.67095,0.008568974358974359,195
POCTF,0.00505,0.00045909090909090905,11
POTMH,39.1638,0.018693937947494035,2095
POTOH,250.63298,0.22004651448639156,1139
POTTF,166.53991,0.3378091480730223,493
RHDMH,1.4075499999999999,0.00863527607361963,163
RPPMH,22.277,0.004160037348272643,5355
RPPOH,7.529999999999999,0.02952941176470588,255
RPPTF,15.520000000000001,0.032,485
SASOH,37.044560000000004,0.1194985806451613,310
SBEMH,0.299,0.003602409638554217,83
SEVMH,2.89695,0.007466365979381443,388
SOUMH,3.4215999999999998,0.006802385685884691,503
TANMH,8.54751,0.0029043527013251787,2943
WBEMH,0.728,0.013735849056603773,53
WICMH,2.0833,0.00435836820083682,478
WSTMH,1.94915,0.009794723618090452,199
YRKMH,23.1,0.005903398926654741,3913
YRKPH,13.269,0.005668090559589919,2341
