,Aggregate_grp,Count
0,.,9
1,Corbicula,1
2,Macoma,4
3,Rangia,1
4,Razor_clams,4
5,amphioxus,1
6,amphipods,79
7,anemone,3
8,barnacle,2
9,cnidarian,1
10,coral,1
11,cumacean,7
12,decapod_crab,23
13,decapod_shrimp,11
14,echinoderm,1
15,flatworm,7
16,gastropod,75
17,gelatinous_zooplankton,1
18,holothurian,3
19,horseshoe_crab,1
20,insect,107
21,isopods,25
22,mantis_shrimp,1
23,mud_crab,1
24,mysids,5
25,nemertean,6
26,oligocheate,41
27,other_bivalves,48
28,other_worms,4
29,polychaete,207
30,sand_shrimp,1
31,starfish,2
32,tanaidae,5
33,tube_like_taxa,1
34,tunicate,3
35,worm_like_taxa,5
