,Class ,Count
0,.,6
1,.                          ,1
2,.                            ,2
3,Anopla         ,1
4,Anthozoa,3
5,Anthozoa      ,2
6,Archanida,1
7,Ascidiacea,3
8,Bivalvia         ,58
9,Cephalocarida,2
10,Clitellata    ,2
11,Echinoidea,1
12,Enopla         ,1
13,Enopla              ,1
14,Enteropneusta,5
15,Gastropoda,75
16,Holothuroidea,3
17,Insecta,25
18,Insecta       ,68
19,Insecta         ,14
20,Insecta          ,1
21,Leptocardii,1
22,Malacostraca,159
23,Maxillopoda,2
24,Merostomata,1
25,Nemertea,2
26,Oligochaeta,39
27,Ophiuroidea,1
28,Polychaeta,208
29,Pycnogonida,2
30,Rhabditophora,4
31,Rhabdocoela,1
32,Trepaxonemata,1
33,anthozoa,1
