,General_grouping,Count
0,Entroprocta,1
1,Infaunal_shrimp,3
2,No Organisms Present,1
3,amphioxus,1
4,amphipods_isopods,104
5,barnacle,2
6,bivalve,58
7,brachypoda,2
8,chironomid,59
9,cnidaria,6
10,cnidarian,1
11,cumacean,7
12,decapod,1
13,decapod_crab,24
14,decapod_shrimp,8
15,echinoderm,4
16,flatworm,7
17,gastropod,73
18,hemichordate,5
19,holothurian,3
20,horseshoe crab,1
21,hydrachnidiae,1
22,insect,48
23,mantis_shrimp,1
24,mysid,5
25,nemertean,6
26,nudibranch,2
27,oligocheate,41
28,polychaete,207
29,pycnogonid,2
30,sand_shrimp,1
31,tanaidae,5
32,tunicate,3
33,worm_annelid,1
34,worm_leach,1
35,worm_phoronidae,1
36,worm_sipunculid,1
