,             Order ,Count
0,.,13
1,.                     ,1
2,.                      ,1
3,.                       ,1
4,Actiniaria ,3
5,Adapedonta,2
6,Alcyonacea,1
7,Amphinomida,2
8,Amphioxiformes,1
9,Amphipoda,79
10,Arbacioida,1
11,Architaenioglossa,4
12,Arcoida       ,2
13,Basommatophora,3
14,Brachypoda,2
15,Caenongastropoda,4
16,Canalipalpata,3
17,Cardida      ,2
18,Cardiida,2
19,Cardiida    ,2
20,Cardiida      ,1
21,Cardiida       ,1
22,Cardiida            ,3
23,Cephalaspidea,5
24,Cerithioidae,1
25,Cirratulida,11
26,Clitellata,2
27,Coleoptera,8
28,Cumacea,7
29,Decapoda,12
30,Decapoda ,26
31,Dendrochirotida,2
32,Diptera,6
33,Diptera     ,1
34,Diptera          ,48
35,Diptera             ,15
36,Echiura          ,1
37,Echiuroidea,1
38,Enteropneusta,5
39,Ephemeroptera,6
40,Eunicida  ,15
41,Heterobranchia,5
42,Heterostropha,7
43,Hoplonemertea,1
44,Isopoda         ,25
45,Lepidoptera,1
46,Littorinimorpha,8
47,Littorinimorpha ,4
48,Lucinida  ,1
49,Lumbriculida,1
50,Megaloptera,1
51,Monostilifera,2
52,Myida          ,1
53,Myoida          ,1
54,Myoida           ,1
55,Mysida        ,5
56,Mytilida     ,3
57,Mytiloida    ,4
58,Neogastropoda,14
59,Nuculida ,1
60,Nuculoida ,3
61,Nudibranchia,3
62,Ophiurida,1
63,Ostreida,1
64,Paleonemertea,2
65,Pantopoda,2
66,Pectinida,1
67,Pholadomyoida,4
68,Phyllodocida,94
69,Planorboidea,4
70,Polychaeta incertae sedis,1
71,Polycladida,2
72,Pulmonata,1
73,Sabellida,5
74,Scolecida,27
75,Sessilia             ,2
76,Solemyoida,1
77,Spionida,17
78,Spionida ,6
79,Spirularia,2
80,Stolidobranchia,2
81,Tanaidacea,5
82,Terebellida,25
83,Trichoptera,15
84,Tricladida,3
85,Trombidiformes,1
86,Tubificida,36
87,Unionoida ,2
88,Valvatoidea,2
89,Venerida,2
90,Veneroida  ,11
91,Xiphosura,1
92,caenogastropoda,7
93,nan,2
94,odonata     ,7
95,veneroida  ,5
